playerID,year,stint,tmID,GP_x,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,franchID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP_y,min,attend,perW,perL,o_fgEf,o_ftEf,o_3pEf,o_per,d_fgEf,d_ftEf,d_3pEf,pts_diff,pts_mpg,pts_tmp,effec_fg,poss,off_rtg,def_rtg,minutes_team,ORtg,Floor%,DRtg
abrossv01w,2,0,MIN,26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,WE,6,N,,,,671,1810,559,727,176,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,12,20,32,6475,120607,0.375,0.625,0.3707182320441989,0.7689133425034388,0.3188405797101449,4106.6,0.3902439024390244,0.7996794871794872,0.3241525423728814,-79,64.90625,67.375,0.08584254143646408,2497.4137372014993,83.16603568968121,86.32930811119532,1295.0,80.66213645876897,0.42763864710462507,98.12308606800892
abrossv01w,3,0,MIN,27,27,805,314,45,101,146,60,42,10,92,73,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,WE,8,N,,,,727,1775,383,578,166,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,10,22,32,6475,139874,0.3125,0.6875,0.4095774647887324,0.6626297577854672,0.332,3967.8,0.4133923630326508,0.765089722675367,0.36246786632390743,-101,62.59375,65.75,0.08380281690140845,2396.989750773274,83.56314412082187,87.77676247139752,1295.0,75.29136080461575,0.394544321529796,99.15900063625583
abrossv01w,4,0,MIN,30,25,792,318,44,97,141,82,44,11,90,79,285,112,98,69,82,25,0,3,3,69,23,1,4,5,4,4,1,8,8,22,6,8,8,7,3,0,MIN,WE,4,Y,L,,,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,18,16,34,6850,120253,0.5294117647058824,0.47058823529411764,0.442366026289181,0.7211538461538461,0.3435114503816794,4912.2,0.424770198355104,0.7472353870458136,0.31614349775784756,10,70.0,69.70588235294117,0.08074109320168917,2661.710889629134,89.4161724803859,89.0404742766868,1370.0,84.68998597502922,0.42900360947594507,100.2368825488585
abrossv01w,5,0,MIN,22,11,462,146,17,57,74,45,30,2,43,42,139,49,46,28,53,20,0,2,2,67,20,3,6,9,3,1,2,3,7,23,8,4,2,8,2,0,MIN,WE,3,Y,L,,,767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,18,16,34,6850,125097,0.5294117647058824,0.47058823529411764,0.4036842105263158,0.709375,0.32656826568265684,4231.4,0.4077079107505071,0.7324364723467862,0.2787878787878788,-25,63.6764705882353,64.41176470588235,0.08047987616099071,2630.5467479012723,82.30228190117894,83.2526546714004,1370.0,75.03956866977286,0.38410274277788914,94.66122213089899
abrossv01w,6,0,MIN,31,31,777,304,29,78,107,60,48,6,80,86,276,109,73,53,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,WE,6,N,,,,801,1946,437,601,172,492,310,715,1025,531,624,258,536,127,2211,862,2019,435,592,129,376,344,711,1055,537,665,275,487,144,2288,14,20,34,6850,113447,0.4117647058823529,0.5882352941176471,0.41161356628982526,0.7271214642262895,0.34959349593495936,4471.5,0.4269440316988608,0.7347972972972973,0.34308510638297873,-77,65.02941176470588,67.29411764705883,0.07877395562541564,2630.9365046673306,84.03851617390403,86.96523066752258,1370.0,79.9500118186557,0.4001798685727697,98.80509159868976
abrossv01w,7,0,MIN,34,2,724,263,44,62,106,54,34,1,61,66,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,WE,7,N,,,,945,2211,485,681,148,419,340,804,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,372,832,1204,625,633,308,438,124,2735,10,24,34,6825,109522,0.29411764705882354,0.7058823529411765,0.42740841248303935,0.7121879588839941,0.3532219570405728,5266.5,0.4338807260155575,0.7621696801112656,0.33025830258302585,-212,74.20588235294117,80.44117647058823,0.06985127836752068,2927.3133018736507,86.18824634811494,93.43038199052492,1365.0,86.85837210960408,0.4296424641578159,104.78685369744593
abrossv01w,8,0,MIN,34,29,843,345,53,97,150,85,44,4,68,86,298,132,43,36,101,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,WE,6,N,,,,971,2355,531,674,163,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,10,24,34,6875,121019,0.29411764705882354,0.7058823529411765,0.4123142250530786,0.787833827893175,0.3286290322580645,5511.9,0.45011389521640094,0.7821656050955414,0.351409978308026,-116,77.52941176470588,80.94117647058823,0.06897714499812664,2962.052556966608,88.99234396770754,92.90854726825916,1375.0,99.03097910680326,0.45654195010871623,103.24926730466727
abrossv01w,9,0,CON,6,0,107,34,3,17,20,12,8,0,11,13,36,11,12,10,12,2,0,3,2,63,24,3,8,11,4,4,0,3,8,24,11,4,2,5,0,0,CON,EA,2,Y,L,,,965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,21,13,34,6850,129951,0.6176470588235294,0.38235294117647056,0.4221347331583552,0.7455048409405256,0.3303437967115097,5809.5,0.4181260945709282,0.7398119122257053,0.32056451612903225,149,79.11764705882354,74.73529411764706,0.08103031238742217,2955.019672951872,91.03154285645975,85.98927524099041,1370.0,72.72813442655304,0.3743737411333913,96.41543452584892
adamsjo01w,4,0,MIN,10,0,96,33,10,13,23,4,2,3,10,10,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,WE,4,Y,L,,,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,18,16,34,6850,120253,0.5294117647058824,0.47058823529411764,0.442366026289181,0.7211538461538461,0.3435114503816794,4912.2,0.424770198355104,0.7472353870458136,0.31614349775784756,10,70.0,69.70588235294117,0.08074109320168917,2661.710889629134,89.4161724803859,89.0404742766868,1370.0,80.30847936218345,0.37346324410789683,100.72416894976325
aguilel01w,3,0,UTA,28,0,141,43,0,11,11,16,3,2,11,5,33,14,7,4,21,11,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,SAS,WE,3,Y,W,,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,20,12,32,6450,118720,0.625,0.375,0.4411302982731554,0.7618483412322274,0.3603238866396761,5013.4,0.41170778906627964,0.75,0.33421750663129973,74,75.5625,73.25,0.06161695447409733,2637.278445270109,91.68542685876119,88.87950395241366,1290.0,93.31824775424394,0.41415826849382814,101.95717856197875
ajavoma01w,9,0,HOU,34,2,604,273,33,27,60,59,31,6,55,85,284,94,91,72,68,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,WE,5,N,,,,923,2213,563,736,152,481,376,803,1179,556,728,295,599,120,2561,903,2186,582,781,218,580,349,743,1092,542,744,313,555,165,2606,17,17,34,6925,111951,0.5,0.5,0.41708088567555357,0.7649456521739131,0.316008316008316,5227.2,0.4130832570905764,0.7451984635083226,0.3758620689655172,-45,75.32352941176471,76.6470588235294,0.06897743281677786,2921.0523838132076,87.67388131043418,89.21442198164446,1385.0,79.49828977345285,0.4209458120833943,101.74907560971639
ajavoma01w,10,0,WAS,34,4,587,272,27,37,64,37,37,4,50,84,253,85,110,74,82,28,1,2,0,34,19,1,4,5,3,4,0,2,6,16,6,6,5,8,2,0,WAS,EA,4,Y,L,,,933,2205,580,827,139,426,388,803,1191,453,725,314,607,118,2585,945,2184,570,755,162,478,322,789,1111,524,778,315,576,156,2622,16,18,34,6875,192747,0.47058823529411764,0.5294117647058824,0.4231292517006803,0.7013301088270859,0.32629107981220656,5292.6,0.4326923076923077,0.7549668874172185,0.3389121338912134,-37,76.02941176470588,77.11764705882354,0.06649326397225558,2974.138761212121,86.91591776795491,88.15997539171288,1375.0,80.9171100562985,0.4249386926964671,99.8917754862356
